year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90,employment_change_yoy_pct,wage_growth_yoy_pct,contraction_flag_12mo
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,3670.0,47.24,98260.0,38.58,80250.0,36700.0,181790.0,0.0,-2.0143597925807737,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,4070.0,47.71,99230.0,38.84,80790.0,33900.0,185040.0,10.899182561307901,0.9871768776714838,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,3920.0,49.01,101950.0,39.82,82830.0,34530.0,195110.0,-3.6855036855036856,2.741106520205583,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,4230.0,55.8,116060.0,43.37,90200.0,37800.0,,7.908163265306123,13.840117704757235,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,5400.0,46.99,97740.0,38.19,79430.0,38340.0,168160.0,27.659574468085108,-15.78493882474582,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,5750.0,51.13,106350.0,40.22,83660.0,37720.0,195600.0,6.481481481481481,8.809085328422345,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,6020.0,51.16,106410.0,41.53,86380.0,41350.0,178370.0,4.695652173913043,0.05641748942172073,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,5940.0,48.44,100760.0,39.87,82920.0,31330.0,180050.0,-1.3289036544850499,-5.309651348557466,0
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,40.0,60.97,126820.0,56.3,117090.0,87350.0,191770.0,,,
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,,66.75,138840.0,68.06,141560.0,92400.0,165740.0,,9.478000315407664,
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,,71.33,148370.0,70.21,146030.0,95550.0,196450.0,,6.864016133679055,
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,,68.36,142190.0,70.97,147620.0,83700.0,178900.0,,-4.165262519377232,
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,70.0,62.96,130950.0,66.75,138830.0,60440.0,170560.0,,-7.9049159575216255,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,50.0,60.03,124850.0,57.69,120000.0,60820.0,224710.0,-28.57142857142857,-4.658266513936617,1
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,60.0,64.34,133820.0,60.52,125890.0,42830.0,235490.0,20.0,7.184621545855026,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,250.0,57.26,119090.0,48.43,100730.0,59760.0,,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,220.0,56.43,117380.0,49.91,103820.0,60070.0,184330.0,-12.0,-1.4358888235788059,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,270.0,55.86,116190.0,51.3,106700.0,62900.0,184560.0,22.727272727272727,-1.0138013290168684,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,220.0,60.02,124850.0,55.09,114580.0,67190.0,197980.0,-18.51851851851852,7.453309234873913,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,270.0,59.82,124420.0,55.78,116010.0,63290.0,201900.0,22.727272727272727,-0.34441329595514614,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,210.0,65.82,136910.0,63.85,132800.0,58340.0,,-22.22222222222222,10.03857900659058,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,270.0,63.06,131170.0,46.7,97140.0,59590.0,,28.57142857142857,-4.192535242129866,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,320.0,60.24,125310.0,48.24,100350.0,62240.0,210640.0,18.51851851851852,-4.467484943203477,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,350.0,69.99,145570.0,61.7,128330.0,69750.0,,9.375,16.167903599074297,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,310.0,75.29,156600.0,73.0,151840.0,92360.0,225980.0,-11.428571428571429,7.577110668406951,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3010,Administrative Services and Facilities Managers,150.0,44.0,91530.0,41.39,86090.0,49150.0,149790.0,,,
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3010,Administrative Services and Facilities Managers,230.0,47.16,98080.0,44.12,91760.0,53530.0,156290.0,53.333333333333336,7.156123675297716,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,40.0,43.73,90950.0,41.32,85950.0,43470.0,130260.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,60.0,41.95,87260.0,40.3,83830.0,53780.0,126070.0,50.0,-4.05717427157779,0
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,80.0,46.73,97200.0,44.66,92890.0,57490.0,141370.0,33.33333333333333,11.391244556497822,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,120.0,45.41,94450.0,43.39,90260.0,47360.0,146740.0,50.0,-2.8292181069958846,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3012,Administrative Services Managers,190.0,47.47,98740.0,40.43,84100.0,47200.0,166130.0,,,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3012,Administrative Services Managers,200.0,66.38,138070.0,60.73,126320.0,66320.0,237860.0,5.263157894736842,39.831881709540205,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3012,Administrative Services Managers,260.0,64.79,134750.0,49.56,103080.0,57420.0,,30.0,-2.4045773882813064,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3012,Administrative Services Managers,190.0,59.12,122970.0,49.67,103300.0,58490.0,185810.0,-26.923076923076923,-8.742115027829314,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3013,Facilities Managers,110.0,45.67,95000.0,45.6,94840.0,59010.0,146430.0,,,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3013,Facilities Managers,190.0,52.14,108460.0,48.75,101390.0,68220.0,162090.0,72.72727272727273,14.16842105263158,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3013,Facilities Managers,210.0,51.41,106930.0,52.96,110150.0,55980.0,143410.0,10.526315789473683,-1.4106583072100314,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3013,Facilities Managers,210.0,53.73,111750.0,53.45,111170.0,39490.0,185760.0,0.0,4.507621808659871,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,30.0,48.47,100810.0,47.35,98490.0,68380.0,149600.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,40.0,61.25,127400.0,52.57,109340.0,84930.0,182990.0,33.33333333333333,26.376351552425355,0
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,60.0,70.18,145980.0,64.21,133550.0,91480.0,203230.0,50.0,14.583987441130297,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,60.0,68.84,143180.0,62.66,130330.0,90850.0,206220.0,0.0,-1.918070968625839,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,40.0,67.96,141360.0,63.15,131350.0,98340.0,204460.0,-33.33333333333333,-1.2711272524095545,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,50.0,64.58,134320.0,63.45,131980.0,97240.0,181570.0,25.0,-4.980192416525184,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,,62.67,130350.0,62.14,129260.0,99520.0,162150.0,,-2.9556283502084573,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,,72.49,150780.0,64.81,134800.0,92180.0,,,15.673187571921748,
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,100.0,81.32,169140.0,70.04,145680.0,98820.0,,,12.176681257461201,
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,110.0,80.22,166860.0,72.18,150140.0,98870.0,,10.0,-1.3479957431713374,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,230.0,54.62,113610.0,48.36,100590.0,57430.0,,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,220.0,58.65,122000.0,51.37,106850.0,60150.0,205590.0,-4.3478260869565215,7.384913299885573,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,250.0,63.55,132170.0,55.26,114940.0,70140.0,,13.636363636363635,8.336065573770492,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,240.0,63.52,132130.0,55.69,115820.0,70510.0,,-4.0,-0.03026405387001589,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,230.0,68.66,142800.0,59.96,124720.0,75010.0,,-4.166666666666666,8.075380307273141,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,190.0,71.92,149590.0,64.6,134370.0,66460.0,,-17.391304347826086,4.754901960784314,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,,66.41,138130.0,57.7,120010.0,77520.0,,,-7.660939902399893,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,,73.11,152070.0,59.69,124150.0,85580.0,,,10.091942373126765,
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,450.0,81.75,170030.0,70.27,146150.0,95000.0,,,11.810350496481883,
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,380.0,82.47,171540.0,75.38,156780.0,91040.0,,-15.555555555555555,0.888078574369229,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,440.0,39.29,81730.0,34.82,72430.0,48440.0,134760.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,380.0,40.31,83840.0,36.76,76460.0,52520.0,133950.0,-13.636363636363635,2.5816713569068885,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,360.0,45.23,94070.0,39.53,82230.0,52700.0,153710.0,-5.263157894736842,12.201812977099237,1
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,360.0,48.14,100130.0,42.58,88570.0,55200.0,160780.0,0.0,6.442011268204528,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,360.0,47.02,97810.0,42.87,89170.0,55790.0,155410.0,0.0,-2.3169879157095776,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,290.0,45.36,94350.0,44.45,92460.0,50370.0,135530.0,-19.444444444444446,-3.537470606277477,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,280.0,50.5,105040.0,46.89,97540.0,46900.0,161320.0,-3.4482758620689653,11.33015368309486,1
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,560.0,45.53,94690.0,44.82,93230.0,45610.0,137420.0,100.0,-9.853389185072354,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,620.0,47.62,99040.0,45.62,94880.0,49460.0,140150.0,10.714285714285714,4.593938113845179,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,570.0,50.18,104370.0,47.26,98300.0,57790.0,149290.0,-8.064516129032258,5.3816639741518575,1
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3061,Purchasing Managers,,55.25,114920.0,56.09,116670.0,61630.0,182290.0,,,
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3061,Purchasing Managers,90.0,68.73,142960.0,60.93,126730.0,64660.0,,,24.399582318134357,
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3061,Purchasing Managers,60.0,67.4,140200.0,64.21,133550.0,69120.0,204420.0,-33.33333333333333,-1.9306099608282037,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",180.0,43.66,90820.0,40.24,83710.0,54770.0,130260.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",120.0,40.79,84850.0,40.17,83550.0,53090.0,122590.0,-33.33333333333333,-6.573441973133671,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",180.0,36.94,76830.0,33.72,70140.0,36330.0,125790.0,50.0,-9.451974071891573,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",170.0,38.5,80070.0,35.49,73830.0,37770.0,131690.0,-5.555555555555555,4.2171026942600545,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",170.0,,,,,,,0.0,,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",120.0,,,,,,,-29.411764705882355,,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",240.0,42.38,88160.0,37.26,77490.0,47990.0,130760.0,100.0,,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",260.0,42.16,87680.0,36.63,76200.0,51040.0,134420.0,8.333333333333332,-0.5444646098003629,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",310.0,47.05,97850.0,43.09,89620.0,56020.0,153670.0,19.230769230769234,11.598996350364963,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",260.0,51.99,108150.0,49.43,102810.0,58340.0,166930.0,-16.129032258064516,10.526315789473683,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,30.0,52.2,108570.0,50.36,104750.0,51850.0,157610.0,,,
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,50.0,49.42,102790.0,42.8,89020.0,58990.0,151770.0,66.66666666666666,-5.323754259924473,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,50.0,48.5,100870.0,47.07,97900.0,65720.0,140430.0,0.0,-1.8678859811265687,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,60.0,57.15,118870.0,49.1,102130.0,73750.0,180250.0,20.0,17.84475066917815,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,90.0,53.51,111310.0,48.86,101640.0,69780.0,162820.0,50.0,-6.359888954319845,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,110.0,52.6,109410.0,50.22,104460.0,52010.0,157550.0,22.22222222222222,-1.7069445692210943,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,130.0,58.8,122310.0,50.41,104850.0,54560.0,177470.0,18.181818181818183,11.790512750205648,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,120.0,58.87,122460.0,51.95,108050.0,74790.0,172460.0,-7.6923076923076925,0.12263919548687761,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2500.0,33.89,70490.0,31.21,64910.0,31840.0,114400.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2510.0,37.1,77180.0,32.09,66750.0,32410.0,130730.0,0.4,9.490707901830046,0
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2240.0,40.68,84610.0,35.38,73580.0,34730.0,147400.0,-10.756972111553784,9.626846333246956,1
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2220.0,40.63,84510.0,34.79,72360.0,36150.0,149010.0,-0.8928571428571428,-0.11818933932159319,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2290.0,41.35,86010.0,37.15,77270.0,41110.0,145320.0,3.153153153153153,1.774937877174299,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2900.0,35.6,74050.0,30.86,64190.0,34830.0,131470.0,26.637554585152838,-13.90535984187885,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2320.0,37.55,78100.0,31.8,66150.0,36230.0,130660.0,-20.0,5.469277515192437,1
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2640.0,39.21,81560.0,35.53,73910.0,35780.0,129760.0,13.793103448275861,4.430217669654289,0
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2710.0,44.27,92080.0,41.19,85660.0,43430.0,140160.0,2.6515151515151514,12.898479646885727,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2560.0,48.11,100080.0,45.28,94170.0,48990.0,158150.0,-5.535055350553505,8.688097306689835,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,40.0,50.59,105230.0,50.04,104080.0,51270.0,166280.0,,,
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,60.0,46.2,96100.0,46.43,96570.0,59840.0,130770.0,50.0,-8.676233013399221,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,60.0,52.26,108710.0,52.84,109910.0,70160.0,153550.0,0.0,13.121748178980228,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,30.0,51.48,107080.0,53.08,110400.0,60530.0,167210.0,-50.0,-1.499402078925582,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,40.0,46.9,97540.0,40.46,84160.0,58840.0,149260.0,33.33333333333333,-8.909226746357863,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,30.0,54.23,112800.0,50.7,105450.0,59800.0,178250.0,-25.0,15.64486364568382,1
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,50.0,60.29,125410.0,61.27,127450.0,67760.0,181060.0,66.66666666666666,11.179078014184398,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9141,"Property, Real Estate, and Community Association Managers",50.0,,,,,,,,,
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-9141,"Property, Real Estate, and Community Association Managers",80.0,,,,,,,60.0,,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-9141,"Property, Real Estate, and Community Association Managers",40.0,,,,,,,-50.0,,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",300.0,53.87,112040.0,48.96,101830.0,51840.0,185650.0,,,
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",280.0,59.88,124550.0,54.43,113220.0,59340.0,,-6.666666666666667,11.165655123170296,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",150.0,55.76,115980.0,57.61,119840.0,50300.0,186020.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",130.0,53.29,110840.0,50.29,104610.0,53360.0,176390.0,-13.333333333333334,-4.431798585963096,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",260.0,49.3,102530.0,43.71,90920.0,50610.0,163940.0,100.0,-7.497293395885962,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",280.0,53.34,110950.0,46.41,96530.0,51100.0,185910.0,7.6923076923076925,8.212230566663417,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",,54.61,113590.0,47.18,98130.0,49480.0,,,2.379450202794051,
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",,55.56,115560.0,45.71,95080.0,49470.0,206130.0,,1.7343075974997801,
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",510.0,54.24,112830.0,49.48,102920.0,64880.0,179770.0,,-2.3624091381100727,
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",570.0,56.5,117520.0,46.53,96790.0,55890.0,207190.0,11.76470588235294,4.156695914207215,0
2017,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,350.0,27.0,56160.0,24.18,50300.0,31780.0,85320.0,,,
2018,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,330.0,30.55,63550.0,27.56,57320.0,35110.0,101270.0,-5.714285714285714,13.158831908831909,1
2019,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,330.0,31.66,65860.0,28.35,58970.0,35150.0,106310.0,0.0,3.6349331235247835,0
2020,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,290.0,35.01,72820.0,29.62,61610.0,37430.0,129020.0,-12.121212121212121,10.567871242028545,1
2021,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,,29.88,62140.0,23.89,49690.0,35700.0,110450.0,,-14.666300466904698,
2022,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,,31.34,65180.0,30.43,63300.0,37790.0,93910.0,,4.892178950756357,
2023,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,690.0,32.87,68370.0,30.82,64110.0,40870.0,101310.0,,4.894139306535747,
2024,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,570.0,34.85,72480.0,32.0,66550.0,40430.0,109010.0,-17.391304347826086,6.011408512505485,1
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1021,"Buyers and Purchasing Agents, Farm Products",130.0,24.26,50460.0,20.79,43240.0,25060.0,89170.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",13-1021,"Buyers and Purchasing Agents, Farm Products",160.0,26.58,55290.0,23.03,47900.0,28010.0,80470.0,23.076923076923077,9.57193816884661,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",80.0,25.48,53010.0,22.64,47090.0,33530.0,90100.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",100.0,24.76,51500.0,22.06,45880.0,33190.0,82240.0,25.0,-2.8485191473306926,0
2018,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,100.0,21.54,44800.0,14.47,30090.0,21280.0,83070.0,,,
2019,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,80.0,25.97,54010.0,23.88,49680.0,23050.0,94830.0,-20.0,20.55803571428571,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,80.0,26.21,54510.0,23.53,48950.0,25160.0,96630.0,0.0,0.925754489909276,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,70.0,28.82,59950.0,27.01,56180.0,37510.0,87250.0,-12.5,9.979820216474042,1
2023,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,100.0,29.5,61350.0,26.15,54390.0,45210.0,91880.0,42.857142857142854,2.335279399499583,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",13-1041,Compliance Officers,90.0,29.68,61740.0,25.0,52000.0,45880.0,90430.0,-10.0,0.6356968215158924,1
2023,11,"Agriculture, Forestry, Fishing and Hunting",13-1051,Cost Estimators,40.0,41.47,86250.0,41.4,86110.0,79240.0,100370.0,,,
2024,11,"Agriculture, Forestry, Fishing and Hunting",13-1051,Cost Estimators,40.0,42.26,87890.0,44.4,92340.0,54970.0,107320.0,0.0,1.901449275362319,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1071,Human Resources Specialists,80.0,30.51,63460.0,27.24,56660.0,36740.0,101850.0,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",13-1071,Human Resources Specialists,110.0,30.86,64180.0,28.52,59330.0,39510.0,94590.0,37.5,1.134572959344469,0
2017,11,"Agriculture, Forestry, Fishing and Hunting",13-1071,Human Resources Specialists,130.0,30.23,62890.0,29.14,60610.0,40040.0,91010.0,18.181818181818183,-2.009971953879713,0
